Serving HTTP on 127.0.0.1 port 59936 (http://127.0.0.1:59936/) ...
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/p07-2/flow.command.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/p07-2/flow.log HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/p07-2/SPE1.PRT HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/generated-1/flow.command.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/generated-1/flow.log HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/generated-1/SYNTHETIC.PRT HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/generated-2/flow.command.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/generated-2/flow.log HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/generated-2/SYNTHETIC.PRT HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/checks.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08/checks.log HTTP/1.1" 200 -
